-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2012 through 03/03/2021 
Location: Latitude  13.0722   Longitude 80.2018 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2012,1,1,5,0.0
2012,1,1,6,29.54
2012,1,1,7,125.2
2012,1,1,8,236.98
2012,1,1,9,365.03
2012,1,1,10,429.52
2012,1,1,11,488.38
2012,1,1,12,540.31
2012,1,1,13,412.55
2012,1,1,14,407.56
2012,1,1,15,266.05
2012,1,1,16,115.71
2012,1,1,17,7.37
2012,1,1,18,0.0
2012,1,1,19,0.0
2012,1,1,20,0.0
2012,1,1,21,0.0
2012,1,1,22,0.0
2012,1,1,23,0.0
2012,1,2,0,0.0
2012,1,2,1,0.0
2012,1,2,2,0.0
2012,1,2,3,0.0
2012,1,2,4,0.0
2012,1,2,5,0.0
2012,1,2,6,27.4
2012,1,2,7,145.35
2012,1,2,8,284.03
2012,1,2,9,444.45
2012,1,2,10,439.82
2012,1,2,11,585.54
2012,1,2,12,585.78
2012,1,2,13,412.76
2012,1,2,14,351.02
2012,1,2,15,215.66
2012,1,2,16,96.25
2012,1,2,17,7.23
2012,1,2,18,0.0
2012,1,2,19,0.0
2012,1,2,20,0.0
2012,1,2,21,0.0
2012,1,2,22,0.0
2012,1,2,23,0.0
2012,1,3,0,0.0
2012,1,3,1,0.0
2012,1,3,2,0.0
2012,1,3,3,0.0
2012,1,3,4,0.0
2012,1,3,5,0.0
2012,1,3,6,40.93
2012,1,3,7,223.09
2012,1,3,8,426.34
2012,1,3,9,588.46
2012,1,3,10,734.66
2012,1,3,11,786.72
2012,1,3,12,784.0
2012,1,3,13,679.18
2012,1,3,14,540.14
2012,1,3,15,350.8
2012,1,3,16,135.95
2012,1,3,17,7.8
2012,1,3,18,0.0
2012,1,3,19,0.0
2012,1,3,20,0.0
2012,1,3,21,0.0
2012,1,3,22,0.0
2012,1,3,23,0.0
2012,1,4,0,0.0
2012,1,4,1,0.0
2012,1,4,2,0.0
2012,1,4,3,0.0
2012,1,4,4,0.0
2012,1,4,5,0.0
2012,1,4,6,46.57
2012,1,4,7,248.54
2012,1,4,8,451.05
2012,1,4,9,620.33
2012,1,4,10,758.36
2012,1,4,11,797.23
2012,1,4,12,765.22
2012,1,4,13,615.18
2012,1,4,14,539.7
2012,1,4,15,347.01
2012,1,4,16,82.59
2012,1,4,17,7.82
2012,1,4,18,0.0
2012,1,4,19,0.0
2012,1,4,20,0.0
2012,1,4,21,0.0
2012,1,4,22,0.0
2012,1,4,23,0.0
2012,1,5,0,0.0
2012,1,5,1,0.0
2012,1,5,2,0.0
2012,1,5,3,0.0
2012,1,5,4,0.0
2012,1,5,5,0.0
2012,1,5,6,45.18
2012,1,5,7,237.84
2012,1,5,8,422.86
2012,1,5,9,629.98
2012,1,5,10,748.05
2012,1,5,11,799.4
2012,1,5,12,793.58
2012,1,5,13,690.98
2012,1,5,14,549.32
2012,1,5,15,352.08
2012,1,5,16,110.37
2012,1,5,17,7.88
2012,1,5,18,0.0
2012,1,5,19,0.0
2012,1,5,20,0.0
2012,1,5,21,0.0
2012,1,5,22,0.0
2012,1,5,23,0.0
2012,1,6,0,0.0
2012,1,6,1,0.0
2012,1,6,2,0.0
2012,1,6,3,0.0
2012,1,6,4,0.0
2012,1,6,5,0.0
2012,1,6,6,36.53
2012,1,6,7,206.43
2012,1,6,8,390.41
2012,1,6,9,567.23
2012,1,6,10,706.86
2012,1,6,11,756.2
2012,1,6,12,754.82
2012,1,6,13,688.41
2012,1,6,14,537.1
2012,1,6,15,338.58
2012,1,6,16,128.44
2012,1,6,17,7.61
2012,1,6,18,0.0
2012,1,6,19,0.0
2012,1,6,20,0.0
2012,1,6,21,0.0
2012,1,6,22,0.0
2012,1,6,23,0.0
2012,1,7,0,0.0
2012,1,7,1,0.0
2012,1,7,2,0.0
2012,1,7,3,0.0
2012,1,7,4,0.0
2012,1,7,5,0.0
2012,1,7,6,41.4
2012,1,7,7,228.99
2012,1,7,8,436.45
2012,1,7,9,578.83
2012,1,7,10,750.01
2012,1,7,11,830.75
2012,1,7,12,815.24
2012,1,7,13,721.34
2012,1,7,14,573.38
2012,1,7,15,376.43
2012,1,7,16,145.95
2012,1,7,17,8.33
2012,1,7,18,0.0
2012,1,7,19,0.0
2012,1,7,20,0.0
2012,1,7,21,0.0
2012,1,7,22,0.0
2012,1,7,23,0.0
2012,1,8,0,0.0
2012,1,8,1,0.0
2012,1,8,2,0.0
2012,1,8,3,0.0
2012,1,8,4,0.0
2012,1,8,5,0.0
2012,1,8,6,48.6
2012,1,8,7,250.75
2012,1,8,8,461.91
2012,1,8,9,633.95
2012,1,8,10,743.33
2012,1,8,11,791.4
2012,1,8,12,754.47
2012,1,8,13,674.62
2012,1,8,14,563.54
2012,1,8,15,366.45
2012,1,8,16,144.93
2012,1,8,17,8.67
2012,1,8,18,0.0
2012,1,8,19,0.0
2012,1,8,20,0.0
2012,1,8,21,0.0
2012,1,8,22,0.0
2012,1,8,23,0.0
2012,1,9,0,0.0
2012,1,9,1,0.0
2012,1,9,2,0.0
2012,1,9,3,0.0
2012,1,9,4,0.0
2012,1,9,5,0.0
2012,1,9,6,42.68
2012,1,9,7,243.93
2012,1,9,8,458.98
2012,1,9,9,622.46
2012,1,9,10,728.73
2012,1,9,11,783.34
2012,1,9,12,755.81
2012,1,9,13,680.77
2012,1,9,14,548.13
2012,1,9,15,359.64
2012,1,9,16,135.78
2012,1,9,17,8.5
2012,1,9,18,0.0
2012,1,9,19,0.0
2012,1,9,20,0.0
2012,1,9,21,0.0
2012,1,9,22,0.0
2012,1,9,23,0.0
