-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2015 through 05/02/2024 
Location: Latitude  21.1526   Longitude 79.0872 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DNI
2015,7,1,0,0.0
2015,7,1,1,0.0
2015,7,1,2,0.0
2015,7,1,3,0.0
2015,7,1,4,0.0
2015,7,1,5,30.09
2015,7,1,6,51.29
2015,7,1,7,68.56
2015,7,1,8,96.35
2015,7,1,9,143.71
2015,7,1,10,158.4
2015,7,1,11,179.68
2015,7,1,12,203.45
2015,7,1,13,144.16
2015,7,1,14,106.52
2015,7,1,15,29.4
2015,7,1,16,28.95
2015,7,1,17,31.22
2015,7,1,18,6.85
2015,7,1,19,0.0
2015,7,1,20,0.0
2015,7,1,21,0.0
2015,7,1,22,0.0
2015,7,1,23,0.0
2015,7,2,0,0.0
2015,7,2,1,0.0
2015,7,2,2,0.0
2015,7,2,3,0.0
2015,7,2,4,0.0
2015,7,2,5,31.51
2015,7,2,6,62.24
2015,7,2,7,92.51
2015,7,2,8,204.51
2015,7,2,9,230.04
2015,7,2,10,265.42
2015,7,2,11,233.3
2015,7,2,12,158.51
2015,7,2,13,171.08
2015,7,2,14,92.35
2015,7,2,15,95.27
2015,7,2,16,64.09
2015,7,2,17,37.7
2015,7,2,18,6.98
2015,7,2,19,0.0
2015,7,2,20,0.0
2015,7,2,21,0.0
2015,7,2,22,0.0
2015,7,2,23,0.0
2015,7,3,0,0.0
2015,7,3,1,0.0
2015,7,3,2,0.0
2015,7,3,3,0.0
2015,7,3,4,0.0
2015,7,3,5,32.98
2015,7,3,6,72.44
2015,7,3,7,131.09
2015,7,3,8,228.98
2015,7,3,9,316.06
2015,7,3,10,271.38
2015,7,3,11,285.9
2015,7,3,12,210.44
2015,7,3,13,216.49
2015,7,3,14,207.3
2015,7,3,15,184.06
2015,7,3,16,82.24
2015,7,3,17,45.58
2015,7,3,18,7.07
2015,7,3,19,0.0
2015,7,3,20,0.0
2015,7,3,21,0.0
2015,7,3,22,0.0
2015,7,3,23,0.0
2015,7,4,0,0.0
2015,7,4,1,0.0
2015,7,4,2,0.0
2015,7,4,3,0.0
2015,7,4,4,0.0
2015,7,4,5,33.41
2015,7,4,6,84.56
2015,7,4,7,148.05
2015,7,4,8,272.77
2015,7,4,9,332.92
2015,7,4,10,371.79
2015,7,4,11,334.3
2015,7,4,12,310.12
2015,7,4,13,368.98
2015,7,4,14,301.17
2015,7,4,15,344.45
2015,7,4,16,236.53
2015,7,4,17,132.98
2015,7,4,18,7.13
2015,7,4,19,0.0
2015,7,4,20,0.0
2015,7,4,21,0.0
2015,7,4,22,0.0
2015,7,4,23,0.0
2015,7,5,0,0.0
2015,7,5,1,0.0
2015,7,5,2,0.0
2015,7,5,3,0.0
2015,7,5,4,0.0
2015,7,5,5,35.03
